,clusterA,clusterB,clusterC1,clusterC2,clusterC3,clusterC4,clusterC5,clusterC6,clusterC7,clusterC8,clusterC9,clusterC10,clusterC11,clusterD,clusterE,clusterF,clusterG,clusterH,clusterI,clusterJ
clusterA,0.0,9.05265223974353,3.137503259767433,3.4104144416625064,5.232566845278908,4.623463312066652,3.0708523112110124,6.582838444602668,6.0014340626847344,5.995829575133768,7.1405918074131804,5.328463145876346,4.692796301895378,8.126995182878883,3.9529508425504423,9.93973137483133,2.6042058714811005,5.479012678935788,5.374046193665925,5.934761120861152
clusterB,9.05265223974353,0.0,8.790675254596056,7.8206806690222574,6.111908515819269,8.63827564592193,7.447669535046031,4.6167270750256035,6.418531066325133,5.453508154528074,4.741206943232668,6.611934178519057,6.587193439462943,11.581281417112287,8.159558456223259,1.4885442725293678,7.645143678682853,6.8990700803944245,8.555714353175535,11.814936392187494
clusterC1,3.137503259767433,8.790675254596056,0.0,1.6188158800359937,4.639352395934065,1.8656837764079075,3.7271584826552044,6.5367320175958,7.140102774577776,6.799148631275751,7.063273507725304,6.195085485340704,4.383394988628839,9.901470991307365,5.849452084196855,9.707497056333073,2.1495439825792,5.4372373033121875,6.02122932465815,7.906117226905264
clusterC2,3.4104144416625064,7.8206806690222574,1.6188158800359937,0.0,3.397510137070153,2.0736470204291186,3.1867047914633617,5.437688510783785,6.202352120935025,5.6940514650539225,5.764302032204254,4.984929930948787,3.7094993726179886,9.433679782704916,5.466336125551783,8.814714230645041,2.4178023468375978,4.892061323245052,5.9840986111217465,8.198940282673066
clusterC3,5.232566845278908,6.111908515819269,4.639352395934065,3.397510137070153,0.0,4.505864372064909,3.2416732522909975,3.4698464729785674,5.130199201499189,3.878107939866747,3.172059334153254,4.0199192234418035,3.5229393494433454,10.080792025796379,5.5299597974980195,6.972933605927904,4.270476235512493,4.378655420778077,5.612985886209026,9.539551760871824
clusterC4,4.623463312066652,8.63827564592193,1.8656837764079075,2.0736470204291186,4.505864372064909,0.0,4.560330775672235,6.497934486745964,7.975532470439392,6.978700524216275,7.075692123438325,6.90626267720025,4.793844912869339,11.196096408922655,6.846993964494197,9.568760462413355,3.220539894242595,5.316134122708773,6.432192845440754,9.498016900786979
clusterC5,3.0708523112110124,7.447669535046031,3.7271584826552044,3.1867047914633617,3.2416732522909975,4.560330775672235,0.0,4.619449736938811,4.603396961434096,4.244331329537498,5.084003874140561,4.071327383203089,3.1678750615491675,8.811179298814142,3.1719023868591267,8.363291458533686,2.4181641781490697,3.9751935007150134,4.419222532336043,7.597950713575768
clusterC6,6.582838444602668,4.6167270750256035,6.5367320175958,5.437688510783785,3.4698464729785674,6.497934486745964,4.619449736938811,0.0,4.457244527759885,2.5261955241468548,4.029349078756874,4.284885966612643,3.3686259431830066,10.723748974197614,5.413599175655646,5.537197642559269,5.441028095452069,3.5021544792670536,5.056384725768023,10.772349352505737
clusterC7,6.0014340626847344,6.418531066325133,7.140102774577776,6.202352120935025,5.130199201499189,7.975532470439392,4.603396961434096,4.457244527759885,0.0,4.173044393533687,4.673563352156505,2.4664691428497254,4.674264558811046,6.902487604158407,4.164099540002019,7.130077228506191,5.95656402097137,6.139447758632758,6.570366754392463,7.90054947745365
clusterC8,5.995829575133768,5.453508154528074,6.799148631275751,5.6940514650539225,3.878107939866747,6.978700524216275,4.244331329537498,2.5261955241468548,4.173044393533687,0.0,4.226370320758706,3.8256942661164914,4.432168082476322,9.953565657114995,4.403898267024305,6.361727122518193,5.505508202649661,3.8706795999965187,5.119769257222605,9.936207362159005
clusterC9,7.1405918074131804,4.741206943232668,7.063273507725304,5.764302032204254,3.172059334153254,7.075692123438325,5.084003874140561,4.029349078756874,4.673563352156505,4.226370320758706,0.0,4.122382276039959,5.413288898105883,9.619463567729111,6.6531806062610155,5.494509598771615,6.370295688593473,6.266351490679535,7.704336996290114,10.187469375550032
clusterC10,5.328463145876346,6.611934178519057,6.195085485340704,4.984929930948787,4.0199192234418035,6.90626267720025,4.071327383203089,4.284885966612643,2.4664691428497254,3.8256942661164914,4.122382276039959,0.0,4.15622360266784,7.1058775953113225,4.365491152229909,7.491724021137346,5.388902224338089,5.888262610461938,6.694720981482367,7.876248887464268
clusterC11,4.692796301895378,6.587193439462943,4.383394988628839,3.7094993726179886,3.5229393494433454,4.793844912869339,3.1678750615491675,3.3686259431830066,4.674264558811046,4.432168082476322,5.413288898105883,4.15622360266784,0.0,9.715741615203592,4.15988175114732,7.415136910016538,3.410561069716949,3.493192838476398,4.1492721016831196,8.988066783340564
clusterD,8.126995182878883,11.581281417112287,9.901470991307365,9.433679782704916,10.080792025796379,11.196096408922655,8.811179298814142,10.723748974197614,6.902487604158407,9.953565657114995,9.619463567729111,7.1058775953113225,9.715741615203592,0.0,8.002141084283394,12.242704579128427,9.446424304476764,11.39464340196547,11.591667993828008,5.270285205955148
clusterE,3.9529508425504423,8.159558456223259,5.849452084196855,5.466336125551783,5.5299597974980195,6.846993964494197,3.1719023868591267,5.413599175655646,4.164099540002019,4.403898267024305,6.6531806062610155,4.365491152229909,4.15988175114732,8.002141084283394,0.0,8.903627682001273,4.301091749841536,4.90404435145469,4.428000966423288,7.132406518946016
clusterF,9.93973137483133,1.4885442725293678,9.707497056333073,8.814714230645041,6.972933605927904,9.568760462413355,8.363291458533686,5.537197642559269,7.130077228506191,6.361727122518193,5.494509598771615,7.491724021137346,7.415136910016538,12.242704579128427,8.903627682001273,0.0,8.575917643972552,7.90063675073218,9.226299528244446,12.423905754328624
clusterG,2.6042058714811005,7.645143678682853,2.1495439825792,2.4178023468375978,4.270476235512493,3.220539894242595,2.4181641781490697,5.441028095452069,5.95656402097137,5.505508202649661,6.370295688593473,5.388902224338089,3.410561069716949,9.446424304476764,4.301091749841536,8.575917643972552,0.0,4.253505106193525,4.837804350705039,7.522784617329047
clusterH,5.479012678935788,6.8990700803944245,5.4372373033121875,4.892061323245052,4.378655420778077,5.316134122708773,3.9751935007150134,3.5021544792670536,6.139447758632758,3.8706795999965187,6.266351490679535,5.888262610461938,3.493192838476398,11.39464340196547,4.90404435145469,7.90063675073218,4.253505106193525,0.0,3.0614494341217946,10.380100670495569
clusterI,5.374046193665925,8.555714353175535,6.02122932465815,5.9840986111217465,5.612985886209026,6.432192845440754,4.419222532336043,5.056384725768023,6.570366754392463,5.119769257222605,7.704336996290114,6.694720981482367,4.1492721016831196,11.591667993828008,4.428000966423288,9.226299528244446,4.837804350705039,3.0614494341217946,0.0,9.839695079116257
clusterJ,5.934761120861152,11.814936392187494,7.906117226905264,8.198940282673066,9.539551760871824,9.498016900786979,7.597950713575768,10.772349352505737,7.90054947745365,9.936207362159005,10.187469375550032,7.876248887464268,8.988066783340564,5.270285205955148,7.132406518946016,12.423905754328624,7.522784617329047,10.380100670495569,9.839695079116257,0.0
