Ligand,Ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-3tetrahydroacridindecoy31,1,"-12,3",0,1,1,0,"0,00128","0,0000",,,"0,0000","0,0000","0,0013",,
2iodo-4tetrahydroacridindecoy26,2,"-12,1",0,1,2,0,"0,00256","0,0000",,,"0,0000","0,0000","0,0026",,
4iodo-4tetrahydroacridindecoy50,3,"-12,0",0,1,3,0,"0,00384","0,0000",,,"0,0000","0,0000","0,0038",,
Bis-tacrinedecoy3,4,"-12,0",0,1,4,0,"0,00512","0,0000",,,"0,0000","0,0000","0,0051",,
2iodo-4tetrahydroacridindecoy43,5,"-11,9",0,1,5,0,"0,00640","0,0000",,,"0,0000","0,0000","0,0064",,
2iodo-3tetrahydroacridindecoy32,6,"-11,9",0,1,6,0,"0,00768","0,0000",,,"0,0000","0,0000","0,0077",,
4iodo-3tetrahydroacridindecoy46,7,"-11,9",0,1,7,0,"0,00896","0,0000",,,"0,0000","0,0000","0,0090",,
Bis-tacrinedecoy30,8,"-11,9",0,1,8,0,"0,01024","0,0000",,,"0,0000","0,0000","0,0102",,
Bis-tacrinedecoy41,9,"-11,9",0,1,9,0,"0,01152","0,0000",,,"0,0000","0,0000","0,0115",,
2iodo-4tetrahydroacridindecoy24,10,"-11,8",0,1,10,0,"0,01280","0,0000",,,"0,0000","0,0000","0,0128",,
2iodo-4tetrahydroacridindecoy22,11,"-11,8",0,1,11,0,"0,01408","0,0000",,,"0,0000","0,0000","0,0141",,
2iodo-3tetrahydroacridindecoy39,12,"-11,7",0,1,12,0,"0,01536","0,0000",,,"0,0000","0,0000","0,0154",,
4iodo-4tetrahydroacridindecoy8,13,"-11,7",0,1,13,0,"0,01665","0,0000",,,"0,0000","0,0000","0,0166",,
Bis-tacrinedecoy31,14,"-11,7",0,1,14,0,"0,01793","0,0000",,,"0,0000","0,0000","0,0179",,
4iodo-4tetrahydroacridindecoy19,15,"-11,6",0,1,15,0,"0,01921","0,0000",,,"0,0000","0,0000","0,0192",,
2iodo-3tetrahydroacridindecoy22,16,"-11,6",0,1,16,0,"0,02049","0,0000",,,"0,0000","0,0000","0,0205",,
2iodo-4tetrahydroacridindecoy47,17,"-11,5",0,1,17,0,"0,02177","0,0000",,,"0,0000","0,0000","0,0218",,
4iodo-2tetrahydroacridindecoy33,18,"-11,5",0,1,18,0,"0,02305","0,0000",,,"0,0000","0,0000","0,0230",,
4iodo-3tetrahydroacridindecoy2,19,"-11,5",0,1,19,0,"0,02433","0,0000",,,"0,0000","0,0000","0,0243",,
4iodo-3tetrahydroacridindecoy50,20,"-11,4",0,1,20,0,"0,02561","0,0000",,,"0,0000","0,0000","0,0256",,
Bis-tacrinedecoy50,21,"-11,4",0,1,21,0,"0,02689","0,0000",,,"0,0000","0,0000","0,0269",,
4iodo-4tetrahydroacridindecoy18,22,"-11,3",0,1,22,0,"0,02817","0,0000",,,"0,0000","0,0000","0,0282",,
Bis-tacrinedecoy17,23,"-11,3",0,1,23,0,"0,02945","0,0000",,,"0,0000","0,0000","0,0294",,
4iodo-4tetrahydroacridindecoy20,24,"-11,3",0,1,24,0,"0,03073","0,0000",,,"0,0000","0,0000","0,0307",,
4iodo-4tetrahydroacridindecoy30,25,"-11,3",0,1,25,0,"0,03201","0,0000",,,"0,0000","0,0000","0,0320",,
2iodo-4tetrahydroacridindecoy1,26,"-11,3",0,1,26,0,"0,03329","0,0000",,,"0,0000","0,0000","0,0333",,
2iodo-2tetrahydroacridindecoy19,27,"-11,2",0,1,27,0,"0,03457","0,0000",,,"0,0000","0,0000","0,0346",,
2iodo-4tetrahydroacridindecoy10,28,"-11,2",0,1,28,0,"0,03585","0,0000",,,"0,0000","0,0000","0,0359",,
Bis-tacrinedecoy13,29,"-11,2",0,1,29,0,"0,03713","0,0000",,,"0,0000","0,0000","0,0371",,
4iodo-4tetrahydroacridindecoy16,30,"-11,2",0,1,30,0,"0,03841","0,0000",,,"0,0000","0,0000","0,0384",,
2iodo-4tetrahydroacridindecoy23,31,"-11,1",0,1,31,0,"0,03969","0,0000",,,"0,0000","0,0000","0,0397",,
Bis-tacrinedecoy33,32,"-11,1",0,1,32,0,"0,04097","0,0000",,,"0,0000","0,0000","0,0410",,
3iodo-2tetrahydroacridindecoy39,33,"-11,1",0,1,33,0,"0,04225","0,0000",,,"0,0000","0,0000","0,0423",,
Bis-tacrinedecoy8,34,"-11,1",0,1,34,0,"0,04353","0,0000",,,"0,0000","0,0000","0,0435",,
Bis-tacrinedecoy18,35,"-11,1",0,1,35,0,"0,04481","0,0000",,,"0,0000","0,0000","0,0448",,
2iodo-4tetrahydroacridindecoy7,36,"-11,1",0,1,36,0,"0,04609","0,0000",,,"0,0000","0,0000","0,0461",,
2iodo-2tetrahydroacridindecoy39,37,"-11,1",0,1,37,0,"0,04738","0,0000",,,"0,0000","0,0000","0,0474",,
4iodo-3tetrahydroacridindecoy29,38,"-11,1",0,1,38,0,"0,04866","0,0000",,,"0,0000","0,0000","0,0487",,
4iodo-3tetrahydroacridindecoy12,39,"-11,1",0,1,39,0,"0,04994","0,0000",,,"0,0000","0,0000","0,0499",,
Bis-tacrinedecoy38,40,"-11,1",0,1,40,0,"0,05122","0,0000",,,"0,0000","0,0000","0,0512",,
Bis-tacrinedecoy36,41,"-11,0",0,1,41,0,"0,05250","0,0000",,,"0,0000","0,0000","0,0525",,
2iodo-3tetrahydroacridindecoy20,42,"-11,0",0,1,42,0,"0,05378","0,0000",,,"0,0000","0,0000","0,0538",,
3iodo-2tetrahydroacridindecoy35,43,"-10,9",0,1,43,0,"0,05506","0,0000",,,"0,0000","0,0000","0,0551",,
Bis-tacrinedecoy37,44,"-10,9",0,1,44,0,"0,05634","0,0000",,,"0,0000","0,0000","0,0563",,
4iodo-2tetrahydroacridindecoy13,45,"-10,9",0,1,45,0,"0,05762","0,0000",,,"0,0000","0,0000","0,0576",,
2iodo-4tetrahydroacridindecoy20,46,"-10,9",0,1,46,0,"0,05890","0,0000",,,"0,0000","0,0000","0,0589",,
2iodo-3tetrahydroacridindecoy40,47,"-10,9",0,1,47,0,"0,06018","0,0000",,,"0,0000","0,0000","0,0602",,
Bis-tacrinedecoy16,48,"-10,9",0,1,48,0,"0,06146","0,0000",,,"0,0000","0,0000","0,0615",,
4iodo-3tetrahydroacridindecoy38,49,"-10,9",0,1,49,0,"0,06274","0,0000",,,"0,0000","0,0000","0,0627",,
Bis-tacrinedecoy40,50,"-10,8",0,1,50,0,"0,06402","0,0000",,,"0,0000","0,0000","0,0640",,
2iodo-4tetrahydroacridindecoy29,51,"-10,8",0,1,51,0,"0,06530","0,0000",,,"0,0000","0,0000","0,0653",,
4iodo-3tetrahydroacridindecoy13,52,"-10,8",0,1,52,0,"0,06658","0,0000",,,"0,0000","0,0000","0,0666",,
4iodo-4tetrahydroacridindecoy4,53,"-10,8",0,1,53,0,"0,06786","0,0000",,,"0,0000","0,0000","0,0679",,
Bis-tacrine,54,"-10,8",1,0,53,1,"0,06914","0,0625",,,"0,0185","0,9039","0,0691",,
4iodo-3tetrahydroacridindecoy28,55,"-10,8",0,1,54,1,"0,07042","0,0625",,,"0,0182","0,8875","0,0704",,
Bis-tacrinedecoy46,56,"-10,7",0,1,55,1,"0,07170","0,0625",,,"0,0179","0,8716","0,0717",,
4iodo-4tetrahydroacridindecoy45,57,"-10,7",0,1,56,1,"0,07298","0,0625",,,"0,0175","0,8563","0,0730",,
2iodo-4tetrahydroacridindecoy4,58,"-10,7",0,1,57,1,"0,07426","0,0625",,,"0,0172","0,8416","0,0743",,
Bis-tacrinedecoy15,59,"-10,7",0,1,58,1,"0,07554","0,0625",,,"0,0169","0,8273","0,0755",,
4iodo-3tetrahydroacridindecoy14,60,"-10,7",0,1,59,1,"0,07682","0,0625",,,"0,0167","0,8135","0,0768",,
2iodo-4tetrahydroacridindecoy6,61,"-10,7",0,1,60,1,"0,07810","0,0625",,,"0,0164","0,8002","0,0781",,
2iodo-3tetrahydroacridindecoy16,62,"-10,7",0,1,61,1,"0,07939","0,0625",,,"0,0161","0,7873","0,0794",,
Bis-tacrinedecoy5,63,"-10,7",0,1,62,1,"0,08067","0,0625",,,"0,0159","0,7748","0,0807",,
2iodo-3tetrahydroacridindecoy49,64,"-10,7",0,1,63,1,"0,08195","0,0625",,,"0,0156","0,7627","0,0819",,
4iodo-4tetrahydroacridindecoy24,65,"-10,7",0,1,64,1,"0,08323","0,0625",,,"0,0154","0,7509","0,0832",,
Bis-tacrinedecoy29,66,"-10,6",0,1,65,1,"0,08451","0,0625",,,"0,0152","0,7396","0,0845",,
4iodo-4tetrahydroacridindecoy28,67,"-10,6",0,1,66,1,"0,08579","0,0625",,,"0,0149","0,7285","0,0858",,
Bis-tacrinedecoy11,68,"-10,6",0,1,67,1,"0,08707","0,0625",,,"0,0147","0,7178","0,0871",,
Bis-tacrinedecoy45,69,"-10,6",0,1,68,1,"0,08835","0,0625",,,"0,0145","0,7074","0,0883",,
Bis-tacrinedecoy35,70,"-10,6",0,1,69,1,"0,08963","0,0625",,,"0,0143","0,6973","0,0896",,
Bis-tacrinedecoy7,71,"-10,6",0,1,70,1,"0,09091","0,0625",,,"0,0141","0,6875","0,0909",,
2iodo-4tetrahydroacridindecoy5,72,"-10,6",0,1,71,1,"0,09219","0,0625",,,"0,0139","0,6779","0,0922",,
4iodo-4tetrahydroacridindecoy46,73,"-10,5",0,1,72,1,"0,09347","0,0625",,,"0,0137","0,6686","0,0935",,
4iodo-4tetrahydroacridindecoy44,74,"-10,5",0,1,73,1,"0,09475","0,0625",,,"0,0135","0,6596","0,0948",,
3iodo-4tetrahydroacridindecoy29,75,"-10,5",0,1,74,1,"0,09603","0,0625",,,"0,0133","0,6508","0,0960",,
2iodo-4tetrahydroacridindecoy3,76,"-10,5",0,1,75,1,"0,09731","0,0625",,,"0,0132","0,6423","0,0973",,
4iodo-4tetrahydroacridindecoy2,77,"-10,5",0,1,76,1,"0,09859","0,0625",,,"0,0130","0,6339","0,0986",,
4iodo-3tetrahydroacridindecoy10,78,"-10,5",0,1,77,1,"0,09987","0,0625",,,"0,0128","0,6258","0,0999",,
4iodo-4tetrahydroacridindecoy26,79,"-10,5",0,1,78,1,"0,10115","0,0625",,,"0,0127","0,6179","0,1012",,
3iodo-2tetrahydroacridindecoy11,80,"-10,4",0,1,79,1,"0,10243","0,0625",,,"0,0125","0,6101","0,1024",,
2iodo-4tetrahydroacridindecoy28,81,"-10,4",0,1,80,1,"0,10371","0,0625",,,"0,0123","0,6026","0,1037",,
4iodo-2tetrahydroacridindecoy18,82,"-10,4",0,1,81,1,"0,10499","0,0625",,,"0,0122","0,5953","0,1050",,
3iodo-2tetrahydroacridindecoy46,83,"-10,4",0,1,82,1,"0,10627","0,0625",,,"0,0120","0,5881","0,1063",,
3iodo-4tetrahydroacridindecoy24,84,"-10,4",0,1,83,1,"0,10755","0,0625",,,"0,0119","0,5811","0,1076",,
4iodo-3tetrahydroacridindecoy6,85,"-10,4",0,1,84,1,"0,10883","0,0625",,,"0,0118","0,5743","0,1088",,
Bis-tacrinedecoy48,86,"-10,4",0,1,85,1,"0,11012","0,0625",,,"0,0116","0,5676","0,1101",,
4iodo-2tetrahydroacridindecoy24,87,"-10,4",0,1,86,1,"0,11140","0,0625",,,"0,0115","0,5611","0,1114",,
Bis-tacrinedecoy39,88,"-10,4",0,1,87,1,"0,11268","0,0625",,,"0,0114","0,5547","0,1127",,
3iodo-4tetrahydroacridindecoy39,89,"-10,4",0,1,88,1,"0,11396","0,0625",,,"0,0112","0,5484","0,1140",,
4iodo-4tetrahydroacridindecoy17,90,"-10,3",0,1,89,1,"0,11524","0,0625",,,"0,0111","0,5423","0,1152",,
4iodo-4tetrahydroacridindecoy33,91,"-10,3",0,1,90,1,"0,11652","0,0625",,,"0,0110","0,5364","0,1165",,
Bis-tacrinedecoy28,92,"-10,3",0,1,91,1,"0,11780","0,0625",,,"0,0109","0,5306","0,1178",,
2iodo-3tetrahydroacridindecoy30,93,"-10,3",0,1,92,1,"0,11908","0,0625",,,"0,0108","0,5249","0,1191",,
2iodo-3tetrahydroacridindecoy29,94,"-10,3",0,1,93,1,"0,12036","0,0625",,,"0,0106","0,5193","0,1204",,
2iodo-2tetrahydroacridindecoy14,95,"-10,3",0,1,94,1,"0,12164","0,0625",,,"0,0105","0,5138","0,1216",,
2iodo-3tetrahydroacridindecoy19,96,"-10,3",0,1,95,1,"0,12292","0,0625",,,"0,0104","0,5085","0,1229",,
4iodo-3tetrahydroacridindecoy34,97,"-10,3",0,1,96,1,"0,12420","0,0625",,,"0,0103","0,5032","0,1242",,
2iodo-3tetrahydroacridindecoy12,98,"-10,3",0,1,97,1,"0,12548","0,0625",,,"0,0102","0,4981","0,1255",,
Bis-tacrinedecoy49,99,"-10,3",0,1,98,1,"0,12676","0,0625",,,"0,0101","0,4930","0,1268",,
Bis-tacrinedecoy1,100,"-10,3",0,1,99,1,"0,12804","0,0625",,,"0,0100","0,4881","0,1280",,
4iodo-3tetrahydroacridindecoy42,101,"-10,3",0,1,100,1,"0,12932","0,0625",,,"0,0099","0,4833","0,1293",,
2iodo-3tetrahydroacridindecoy5,102,"-10,3",0,1,101,1,"0,13060","0,0625",,,"0,0098","0,4785","0,1306",,
3iodo-2tetrahydroacridindecoy33,103,"-10,3",0,1,102,1,"0,13188","0,0625",,,"0,0097","0,4739","0,1319",,
4iodo-3tetrahydroacridindecoy25,104,"-10,3",0,1,103,1,"0,13316","0,0625",,,"0,0096","0,4693","0,1332",,
4iodo-2tetrahydroacridindecoy47,105,"-10,3",0,1,104,1,"0,13444","0,0625",,,"0,0095","0,4649","0,1344",,
Bis-tacrinedecoy2,106,"-10,2",0,1,105,1,"0,13572","0,0625",,,"0,0094","0,4605","0,1357",,
3iodo-4tetrahydroacridindecoy38,107,"-10,2",0,1,106,1,"0,13700","0,0625",,,"0,0093","0,4562","0,1370",,
2iodo-2tetrahydroacridindecoy6,108,"-10,2",0,1,107,1,"0,13828","0,0625",,,"0,0093","0,4520","0,1383",,
3iodo-2tetrahydroacridindecoy41,109,"-10,2",0,1,108,1,"0,13956","0,0625",,,"0,0092","0,4478","0,1396",,
Bis-tacrinedecoy26,110,"-10,2",0,1,109,1,"0,14085","0,0625",,,"0,0091","0,4437","0,1408",,
4iodo-4tetrahydroacridindecoy1,111,"-10,2",0,1,110,1,"0,14213","0,0625",,,"0,0090","0,4397","0,1421",,
2iodo-3tetrahydroacridindecoy8,112,"-10,2",0,1,111,1,"0,14341","0,0625",,,"0,0089","0,4358","0,1434",,
Donepezildecoy11,113,"-10,2",0,1,112,1,"0,14469","0,0625",,,"0,0088","0,4320","0,1447",,
2iodo-3tetrahydroacridindecoy47,114,"-10,2",0,1,113,1,"0,14597","0,0625",,,"0,0088","0,4282","0,1460",,
3iodo-2tetrahydroacridindecoy15,115,"-10,2",0,1,114,1,"0,14725","0,0625",,,"0,0087","0,4244","0,1472",,
4iodo-4tetrahydroacridindecoy41,116,"-10,2",0,1,115,1,"0,14853","0,0625",,,"0,0086","0,4208","0,1485",,
4iodo-3tetrahydroacridindecoy33,117,"-10,2",0,1,116,1,"0,14981","0,0625",,,"0,0085","0,4172","0,1498",,
4iodo-2tetrahydroacridindecoy31,118,"-10,2",0,1,117,1,"0,15109","0,0625",,,"0,0085","0,4137","0,1511",,
2iodo-2tetrahydroacridindecoy23,119,"-10,1",0,1,118,1,"0,15237","0,0625",,,"0,0084","0,4102","0,1524",,
Bis-tacrinedecoy21,120,"-10,1",0,1,119,1,"0,15365","0,0625",,,"0,0083","0,4068","0,1536",,
2iodo-3tetrahydroacridindecoy33,121,"-10,1",0,1,120,1,"0,15493","0,0625",,,"0,0083","0,4034","0,1549",,
4iodo-3tetrahydroacridindecoy26,122,"-10,1",0,1,121,1,"0,15621","0,0625",,,"0,0082","0,4001","0,1562",,
3iodo-2tetrahydroacridindecoy48,123,"-10,1",0,1,122,1,"0,15749","0,0625",,,"0,0081","0,3968","0,1575",,
4iodo-4tetrahydroacridindecoy13,124,"-10,1",0,1,123,1,"0,15877","0,0625",,,"0,0081","0,3936","0,1588",,
2iodo-4tetrahydroacridindecoy36,125,"-10,1",0,1,124,1,"0,16005","0,0625",,,"0,0080","0,3905","0,1601",,
2iodo-3tetrahydroacridindecoy15,126,"-10,1",0,1,125,1,"0,16133","0,0625",,,"0,0079","0,3874","0,1613",,
4iodo-3tetrahydroacridindecoy41,127,"-10,1",0,1,126,1,"0,16261","0,0625",,,"0,0079","0,3843","0,1626",,
2iodo-4tetrahydroacridindecoy9,128,"-10,1",0,1,127,1,"0,16389","0,0625",,,"0,0078","0,3813","0,1639",,
3iodo-2tetrahydroacridindecoy21,129,"-10,1",0,1,128,1,"0,16517","0,0625",,,"0,0078","0,3784","0,1652",,
4iodo-4tetrahydroacridindecoy14,130,"-10,1",0,1,129,1,"0,16645","0,0625",,,"0,0077","0,3755","0,1665",,
2iodo-4tetrahydroacridin,131,"-10,1",1,0,129,2,"0,16773","0,1250",,,"0,0153","0,7452","0,1677",,
4iodo-4tetrahydroacridindecoy40,132,"-10,1",0,1,130,2,"0,16901","0,1250",,,"0,0152","0,7396","0,1690",,
4iodo-2tetrahydroacridindecoy37,133,"-10,1",0,1,131,2,"0,17029","0,1250",,,"0,0150","0,7340","0,1703",,
Bis-tacrinedecoy14,134,"-10,1",0,1,132,2,"0,17157","0,1250",,,"0,0149","0,7285","0,1716",,
2iodo-2tetrahydroacridindecoy34,135,"-10,1",0,1,133,2,"0,17286","0,1250",,,"0,0148","0,7231","0,1729",,
2iodo-3tetrahydroacridindecoy23,136,"-10,1",0,1,134,2,"0,17414","0,1250",,,"0,0147","0,7178","0,1741",,
Bis-tacrinedecoy34,137,"-10,1",0,1,135,2,"0,17542","0,1250",,,"0,0146","0,7126","0,1754",,
2iodo-2tetrahydroacridindecoy37,138,"-10,1",0,1,136,2,"0,17670","0,1250",,,"0,0145","0,7074","0,1767",,
2iodo-4tetrahydroacridindecoy48,139,"-10,1",0,1,137,2,"0,17798","0,1250",,,"0,0144","0,7023","0,1780",,
4iodo-3tetrahydroacridindecoy7,140,"-10,1",0,1,138,2,"0,17926","0,1250",,,"0,0143","0,6973","0,1793",,
Bis-tacrinedecoy19,141,"-10,0",0,1,139,2,"0,18054","0,1250",,,"0,0142","0,6924","0,1805",,
2iodo-2tetrahydroacridindecoy13,142,"-10,0",0,1,140,2,"0,18182","0,1250",,,"0,0141","0,6875","0,1818",,
2iodo-3tetrahydroacridindecoy27,143,"-10,0",0,1,141,2,"0,18310","0,1250",,,"0,0140","0,6827","0,1831",,
2iodo-3tetrahydroacridindecoy45,144,"-10,0",0,1,142,2,"0,18438","0,1250",,,"0,0139","0,6779","0,1844",,
3iodo-2tetrahydroacridindecoy7,145,"-10,0",0,1,143,2,"0,18566","0,1250",,,"0,0138","0,6733","0,1857",,
2iodo-2tetrahydroacridindecoy7,146,"-10,0",0,1,144,2,"0,18694","0,1250",,,"0,0137","0,6686","0,1869",,
2iodo-2tetrahydroacridindecoy16,147,"-10,0",0,1,145,2,"0,18822","0,1250",,,"0,0136","0,6641","0,1882",,
4iodo-2tetrahydroacridindecoy9,148,"-10,0",0,1,146,2,"0,18950","0,1250",,,"0,0135","0,6596","0,1895",,
2iodo-3tetrahydroacridindecoy2,149,"-10,0",0,1,147,2,"0,19078","0,1250",,,"0,0134","0,6552","0,1908",,
3iodo-2tetrahydroacridindecoy19,150,"-10,0",0,1,148,2,"0,19206","0,1250",,,"0,0133","0,6508","0,1921",,
4iodo-3tetrahydroacridindecoy1,151,"-10,0",0,1,149,2,"0,19334","0,1250",,,"0,0132","0,6465","0,1933",,
3iodo-4tetrahydroacridindecoy30,152,"-10,0",0,1,150,2,"0,19462","0,1250",,,"0,0132","0,6423","0,1946",,
2iodo-2tetrahydroacridindecoy24,153,"-10,0",0,1,151,2,"0,19590","0,1250",,,"0,0131","0,6381","0,1959",,
2iodo-4tetrahydroacridindecoy21,154,"-10,0",0,1,152,2,"0,19718","0,1250",,,"0,0130","0,6339","0,1972",,
2iodo-4tetrahydroacridindecoy44,155,"-10,0",0,1,153,2,"0,19846","0,1250",,,"0,0129","0,6298","0,1985",,
Donepezildecoy29,156,"-10,0",0,1,154,2,"0,19974","0,1250",,,"0,0128","0,6258","0,1997",,
2iodo-2tetrahydroacridindecoy12,157,"-10,0",0,1,155,2,"0,20102","0,1250",,,"0,0127","0,6218","0,2010",,
2iodo-3tetrahydroacridindecoy6,158,"-10,0",0,1,156,2,"0,20230","0,1250",,,"0,0127","0,6179","0,2023",,
Donepezildecoy28,159,"-10,0",0,1,157,2,"0,20359","0,1250",,,"0,0126","0,6140","0,2036",,
4iodo-3tetrahydroacridindecoy23,160,"-10,0",0,1,158,2,"0,20487","0,1250",,,"0,0125","0,6101","0,2049",,
3iodo-4tetrahydroacridindecoy12,161,"-10,0",0,1,159,2,"0,20615","0,1250",,,"0,0124","0,6064","0,2061",,
4iodo-2tetrahydroacridindecoy21,162,"-10,0",0,1,160,2,"0,20743","0,1250",,,"0,0123","0,6026","0,2074",,
2iodo-3tetrahydroacridindecoy9,163,"-10,0",0,1,161,2,"0,20871","0,1250",,,"0,0123","0,5989","0,2087",,
4iodo-3tetrahydroacridindecoy49,164,"-10,0",0,1,162,2,"0,20999","0,1250",,,"0,0122","0,5953","0,2100",,
4iodo-3tetrahydroacridindecoy22,165,"-10,0",0,1,163,2,"0,21127","0,1250",,,"0,0121","0,5917","0,2113",,
2iodo-4tetrahydroacridindecoy32,166,"-10,0",0,1,164,2,"0,21255","0,1250",,,"0,0120","0,5881","0,2125",,
2iodo-4tetrahydroacridindecoy2,167,"-10,0",0,1,165,2,"0,21383","0,1250",,,"0,0120","0,5846","0,2138",,
3iodo-2tetrahydroacridindecoy10,168,"-10,0",0,1,166,2,"0,21511","0,1250",,,"0,0119","0,5811","0,2151",,
2iodo-2tetrahydroacridindecoy8,169,"-10,0",0,1,167,2,"0,21639","0,1250",,,"0,0118","0,5777","0,2164",,
4iodo-4tetrahydroacridindecoy11,170,"-10,0",0,1,168,2,"0,21767","0,1250",,,"0,0118","0,5743","0,2177",,
3iodo-4tetrahydroacridindecoy37,171,"-10,0",0,1,169,2,"0,21895","0,1250",,,"0,0117","0,5709","0,2190",,
Heptyl-physostigminedecoy36,172,"-9,9",0,1,170,2,"0,22023","0,1250",,,"0,0116","0,5676","0,2202",,
2iodo-4tetrahydroacridindecoy38,173,"-9,9",0,1,171,2,"0,22151","0,1250",,,"0,0116","0,5643","0,2215",,
4iodo-3tetrahydroacridindecoy37,174,"-9,9",0,1,172,2,"0,22279","0,1250",,,"0,0115","0,5611","0,2228",,
2iodo-4tetrahydroacridindecoy18,175,"-9,9",0,1,173,2,"0,22407","0,1250",,,"0,0114","0,5578","0,2241",,
4iodo-4tetrahydroacridindecoy15,176,"-9,9",0,1,174,2,"0,22535","0,1250",,,"0,0114","0,5547","0,2254",,
2iodo-3tetrahydroacridindecoy38,177,"-9,9",0,1,175,2,"0,22663","0,1250",,,"0,0113","0,5515","0,2266",,
4iodo-2tetrahydroacridindecoy3,178,"-9,9",0,1,176,2,"0,22791","0,1250",,,"0,0112","0,5484","0,2279",,
3iodo-4tetrahydroacridindecoy26,179,"-9,9",0,1,177,2,"0,22919","0,1250",,,"0,0112","0,5454","0,2292",,
2iodo-3tetrahydroacridin,180,"-9,9",1,0,177,3,"0,23047","0,1875",,,"0,0167","0,8135","0,2305",,
4iodo-2tetrahydroacridindecoy19,181,"-9,9",0,1,178,3,"0,23175","0,1875",,,"0,0166","0,8090","0,2318",,
4iodo-3tetrahydroacridindecoy19,182,"-9,9",0,1,179,3,"0,23303","0,1875",,,"0,0165","0,8046","0,2330",,
3iodo-2tetrahydroacridindecoy26,183,"-9,9",0,1,180,3,"0,23431","0,1875",,,"0,0164","0,8002","0,2343",,
3iodo-2tetrahydroacridindecoy8,184,"-9,9",0,1,181,3,"0,23560","0,1875",,,"0,0163","0,7958","0,2356",,
2iodo-3tetrahydroacridindecoy3,185,"-9,9",0,1,182,3,"0,23688","0,1875",,,"0,0162","0,7915","0,2369",,
2iodo-4tetrahydroacridindecoy8,186,"-9,9",0,1,183,3,"0,23816","0,1875",,,"0,0161","0,7873","0,2382",,
2iodo-2tetrahydroacridindecoy20,187,"-9,9",0,1,184,3,"0,23944","0,1875",,,"0,0160","0,7831","0,2394",,
2iodo-2tetrahydroacridindecoy29,188,"-9,9",0,1,185,3,"0,24072","0,1875",,,"0,0160","0,7789","0,2407",,
