Compound,AChE,EcNR,JHBP,MET,GABAaR-Ago,GABAaR-Ant,OctpR-Ago,OctpR-Ant
ZINC968468,3.2942105314455596,3.3576871953212715,3.8819738702848907,4.47625215109314,3.205427388334714,2.3006727824557296,4.37423511954787,2.393025388396824
ZINC968230,2.4818168092206685,2.5530655868882035,3.635760799645742,4.264446502391175,2.6259602156387287,1.9461943240103796,4.08294827071625,2.6207507846370244
ZINC968225,2.78669901929862,2.819551856529362,4.008641041504569,4.70096015270227,2.906815877604336,2.0089983894442023,4.541092834567595,2.703151457461804
ZINC967595,2.745447880591123,2.839177903775875,3.749052988599021,4.304925245861758,2.803830394780909,2.246762763937368,3.9627001266040596,2.361977327849596
ZINC967582,2.5146636872710215,2.5818972308737136,3.6984362256364136,4.337127965570227,2.6543577517644574,1.9549642133003935,4.137836160225377,2.6231171823838917
ZINC967579,2.543839882872636,2.5956705232603263,3.735228684376569,4.389612374499921,2.6647314800603943,1.910301067977032,4.196968936663894,2.6341513469256856
ZINC967566,2.6279004489996067,2.697362276752026,3.80210772421195,4.394682872877026,2.7584121087477596,2.128713700784356,4.059039672506259,2.51523337167448
ZINC967513,2.8388790671252764,2.8419239289267577,4.115791588321473,4.833665897982177,2.94033379266471,1.9394792425370753,4.655234348364221,2.7163041388306266
ZINC86034080,2.7835408030350917,2.794792361064553,4.063876164989875,4.781149645036424,2.865975809025891,1.9036962480600579,4.5926212354972975,2.6945595975213497
ZINC85644544,2.3046848316499915,2.4799161203709454,3.274132303751669,3.761933437259171,2.478695646037275,2.2673704241470443,3.4389540301940493,2.2369904507580975
ZINC8418983,2.8350906380066263,2.836286227912537,4.090684096720185,4.801193010270593,2.9384199742591997,1.9405218755186293,4.630205791688455,2.6974711286704816
ZINC8234293,3.319500522686887,3.330753470982722,3.8823652881263606,4.496662052661785,3.2196034001094107,2.1264064632953854,4.457982321995937,2.367399731365321
ZINC8234282,2.503187839354243,2.602484104972263,3.241201676885438,3.7919982004186488,2.5659702786796244,1.9390409306668133,3.7172583042247416,2.1300170926497497
ZINC8220462,3.1754042216708194,3.2271444635262037,3.73456234157469,4.3353081365081945,3.101531594852077,2.1205480796508027,4.309677519295261,2.3614901667315484
ZINC70454368,3.3503142685345013,3.3828911262941284,3.9457141450045077,4.543098038548777,3.25211464495978,2.2602460495884404,4.434388436373516,2.368018777176358
ZINC70451257,3.359987359147695,3.34617425544623,3.9364467845239868,4.551340432760158,3.1849591337933965,2.1099406147246897,4.449125452028677,2.410460642596693
ZINC70450851,3.253688454893478,3.288132659658083,3.828104095120052,4.440460373189747,3.1674199017578824,2.1466791406762487,4.402054138306906,2.3632684159710458
ZINC64624831,3.1800834256448898,3.231272322277693,3.7164718480888834,4.309205768225899,3.1044292449128936,2.1484179795418714,4.2818339223265,2.3766052528972574
ZINC62237753,3.324938217318057,3.3215146098171044,3.8271489619373638,4.4190721805553626,3.2165882337333036,2.052729384041318,4.388050220317685,2.2375847308658523
ZINC59778864,3.1768023255809843,3.2885124022538017,3.777156370596832,4.3464212598359815,3.1689264252825606,2.42639932722343,4.233343210117153,2.4134809549651166
ZINC59778407,3.3608284919676614,3.405291808620744,3.945706076442394,4.534431118051263,3.2848865063734425,2.3220505955707407,4.4294739082328025,2.3540384615779444
ZINC59587341,3.2997585589429175,3.3098878609362092,3.849435300513341,4.454882920485751,3.204476500521748,2.1162634492152943,4.421192658357684,2.3466851426535564
ZINC59585923,3.1565274290042566,3.1902528305407936,3.6996199580341553,4.293293323849397,3.071777713093688,2.0653087446165377,4.266367087596799,2.326495148488261
ZINC5735752,2.716903628965445,2.7530467891897223,3.9418221602558443,4.519986431217052,2.909422574086379,2.2572391532521774,4.166874287003423,2.477363165953664
ZINC5227717,1.343315763092421,1.3197514130849968,2.5224047154745612,2.9594761092701845,1.48221335710249,1.0950583782411438,2.622426354803695,1.7100615109849286
ZINC49538669,3.230967836612498,3.2496204530828985,3.7660533304253816,4.353040781532333,3.1544886129175618,2.1199165969563745,4.315326690804218,2.3038052658263446
ZINC490,1.123585797779066,1.3291399611649015,1.7542200936166166,1.979792018886432,1.5190193962076937,1.9132035991996013,1.696026233003197,1.2685408022735072
ZINC409176,2.001682942757059,2.123951833918194,2.9169531784367027,3.3128257053233656,2.4173328956002385,2.3159719129938847,2.938907135504714,1.8845962744177245
ZINC38139375,3.232304329304788,3.1944009566715823,3.747869387000481,4.364346123903684,3.0335216307438233,1.8400034133549763,4.346106544459615,2.291218005235412
ZINC34117700,2.0753601944207296,2.0564299189670345,2.403678341650749,2.672069451130467,2.3008851843834086,1.977908707786923,2.393329721819803,1.2583263141822305
ZINC33943706,2.2812650070696483,2.1618483837627473,2.9507516061140993,3.3420505718423392,2.374705873486381,1.6120157851010026,2.90691284486162,1.3987391903991666
ZINC30730221,3.2147254671886247,3.217410978057261,3.6959300907817343,4.278215271116638,3.0850147759928275,1.9907936032764662,4.263284113751123,2.2761594961659
ZINC2510193,2.880774874279705,2.83654569941149,4.138141787145123,4.767571190640241,2.930900289517828,1.9849096438940719,4.387384832714653,2.465141253717417
ZINC2242633,2.6299485800422318,2.6688137403325127,3.860432900863099,4.529065390203495,2.7581596678531435,1.9479137405318139,4.327979419760468,2.6482408136811246
ZINC2169363,3.2547715071205667,3.3166163160111726,3.831290565371953,4.410203000262914,3.1825124354080465,2.2842118328191274,4.312497214602751,2.347105521824098
ZINC2123310,3.1332042129038156,3.240836836990652,3.7533985653208037,4.3285405768537,3.112098421527576,2.36570786448976,4.210948557689987,2.4080188761387324
ZINC2083320,3.087961619458274,3.182453535308989,3.6461128687167323,4.13425969223815,3.123160947114102,2.583728970183216,3.920047075867007,2.2364151487145003
ZINC2035755,2.4154855970419433,2.5197873843410195,3.5585912265296304,4.141314786867981,2.662168659624361,2.1118644566924445,3.8960037941987933,2.4136722546279668
ZINC2034639,1.9459361975698666,1.8522789977321452,3.0514034086235293,3.632399012780115,1.891125142332848,0.936118562951363,3.407186915903763,1.9151227899962942
ZINC2019619,2.6573226050590106,2.6924873870793484,3.873571088336921,4.540036379767824,2.796170948022419,1.9686343336124859,4.356722293846771,2.66634703080856
ZINC1849759,3.2799546091330973,3.224825526892072,3.5928539901535457,4.041581607239572,3.084026406026705,2.0692319662286285,3.8415723990681636,1.797950643136387
ZINC1648304,2.590389344583982,2.4613794111342555,3.8001640214777335,4.384383001048853,2.636795213748989,1.576024742327462,3.8940627304758166,1.991902507635643
ZINC1599725,2.6679523822033038,2.7088224326669117,3.949033950408521,4.61892468925955,2.8237783760780615,2.0044743858591594,4.391266731244534,2.6389421901667074
ZINC1599359,3.262261328522892,3.079501043678436,3.9368984552128192,4.474936344983098,3.1289313109708226,1.8029108948671635,4.200815913830221,1.8680229269818789
ZINC1531618,2.87471042737116,2.813977680913024,4.182479313435734,4.955961237188518,2.8597329989084277,1.6746876503035848,4.736379510693087,2.464648087947709
ZINC1531550,3.2601233111231136,3.1323602644247384,3.5694454483635796,4.041788125748206,3.008400145030457,1.6456687088357134,3.8901497203753124,1.620009056566496
ZINC1531148,1.7935684300689472,1.7614300524153808,3.110690518034984,3.6209212483551005,1.9323948134961144,1.34670300474808,3.242688161165907,1.940189330383866
ZINC1530331,2.9673761682902295,2.8909503652623756,4.261475263172359,5.043167625710867,2.966793434484338,1.6883037417090965,4.849327899238796,2.5181784860498047
ZINC1529230,3.246214347927963,3.107348226966683,3.922160664875262,4.481710844001408,3.130603507600437,1.8664960222783378,4.119063417555652,1.8681876441874417
ZINC1529210,2.783380688938001,2.759183802291882,3.882994280428653,4.527599973126674,2.7097902625030215,1.8034004310607672,4.1307721598215315,2.176806419247197
ZINC15121415,3.4154391093748693,3.222938740810458,4.063935207125658,4.627297761860623,3.2720559598981365,1.9040342070471685,4.366354177428937,1.9991085013916587
ZINC14590585,2.473873902917644,2.3496107536648454,3.4695941123041405,4.048933871558728,2.3763991559417965,1.3471741098715746,3.612133057166889,1.762724618607547
ZINC14588411,2.7372010941706457,2.8215096315099104,3.785588576763539,4.355874807923145,2.8147163146646137,2.2503172822044375,4.0030188020667845,2.402679835385221
ZINC143826668,3.0860552121377944,3.099647218216523,4.1040962370043035,4.8021419137675805,3.0827205344991953,2.069764457262695,4.660287701940678,2.708856413328239
ZINC141880133,2.6802171181102463,2.75569597657814,3.7565377862717297,4.332405118273729,2.7110197338534996,2.1334198478746074,3.9426594880138564,2.3477541740503614
ZINC139054025,2.812620566028731,2.9234049540661484,3.2167009539986178,3.59431307710649,2.8149467540372233,2.4867519756527705,3.2848020909499898,1.9157121871322809
ZINC13373002,2.5388847999526014,2.7199213964586963,2.930917881386171,3.3224688263602657,2.58263499035107,2.346745381293644,3.1392783351668045,1.876524816956469
ZINC1063075,2.801894435682779,2.7743862038562037,4.054585261769075,4.671955964188168,2.9226127824694856,2.046573180004809,4.32118373960158,2.4961997905550577
ZINC104883029,3.182254246344631,3.324388993617554,3.5667725260814875,4.032690292684623,3.0174454924994714,2.453531918450181,3.8213039600281746,2.135629748863578
ZINC104876494,3.2640965178106085,3.2997670473154126,3.8310158946076265,4.436185192676712,3.179518601834504,2.169057475774755,4.397303388575072,2.3999051807912517
ZINC100780735,3.1137045641358485,3.2453794980928663,3.707290653246084,4.263864228975517,3.1341327295384076,2.4482613595890133,4.15306818114732,2.375870494959269
ZINC100191743 ,2.5083087846470193,2.576051370849133,3.683347069255306,4.319962815541555,2.6484639245995454,1.95116819900224,4.123055746923066,2.619002505063753
ZINC100086523,3.206323076963325,3.2058599251549453,3.7822045767764427,4.410650375919089,3.058742838378354,1.960469806241126,4.379541590267122,2.3660783153696276
